chain,country,pct_chain_n_1,pct_chain_n_2,pct_chain_n_3,a3,b3,L3,a4,b4,L4,a4',b4',L4',prevalence,LD,a,error_a,b,error_b,L,error_L,first_week_date
268 + 322,DE,0.0180023759480946,0.0428645028335909,0.0730004732607666,1.3285830265627199,19.632468702616,45725.592826527805,1.3152049890530901,19.6663553414962,53501.437568528796,-0.013378037509630179,0.03388663888020105,7775.844742001004,1,5.0,1.29166222516406,0.0916711628704131,4.8105405744079,0.10572224918816801,1.00598469002286,0.0121030024349778,2022-05-08
346 + 433,DE,0.0204729968231556,0.0370583165756966,0.0628895184135977,1.61123162910702,4.58478730720154,0.376682458837168,1.37431979970725,3.1588604638514703,0.21461967057676898,-0.23691182939976985,-1.4259268433500702,-0.16206278826039902,1,16.0,2.8188976449909706,0.18006839780576603,8.38953574407904,0.202143251622287,0.968399726474402,0.00869866580729941,2023-01-01
54,FR,0.31097560975609695,0.33742331288343497,0.32834224598930395,6.11372934734295,67.3405733902117,17231.425294366698,4.32414212556676,53.6433312639182,62521.1487518858,-1.7895872217761903,-13.697242126293506,45289.72345751909,0,,3.38473851743908,0.771444226574315,2.11909048599516,0.5729742133739599,0.8291776269403709,0.0389199182643675,2021-01-10
221,FR,0.0133010882708585,0.0322543879644403,0.0604880284110436,1.28463580233195,4.21446574896751,0.40421771025372605,1.06894520489058,2.9402024869800196,0.216519477343586,-0.21569059744136987,-1.2742632619874898,-0.18769823291014,1,35.0,1.6039507124554597,0.0719285069172576,6.526695582950589,0.0905187452756646,1.02503074446305,0.0146397013394801,2022-01-16
263,FR,0.0258223178604365,0.0502377179080824,0.145125223613595,0.8808770747607539,2.92380613498831,0.552049937929192,0.8952929135869642,2.98555660157843,0.571887936473036,0.01441583882620989,0.06175046659011985,0.01983799854384405,1,5.0,1.68593307694198,0.10160979756769199,4.82622889866362,0.115033083133027,1.00482359582057,0.0107618228769055,2022-05-08
302,FR,0.253030693835439,0.34476190476190394,0.410360029390154,1.7938074136806899,24.709836301093603,165085.513330816,0.962443605211534,1.04205644673519,0.759491045939372,-0.8313638084691559,-23.66777985435841,-165084.75383977007,1,3.0,1.1292782149536003,0.468350914093664,1.28791163112519,0.45148645625362605,0.840560723424104,0.0491987363154406,2022-10-16
335 + 405,FR,0.0198991031390134,0.0240032546786004,0.0306946688206785,2.98477739831359,38.6029102927462,7205.903340270609,1.9191512681162302,27.830470361209002,23571.934256712997,-1.06562613019736,-10.772439931537203,16366.03091644239,1,16.0,2.1512976260954,0.123904336420937,8.3699145562243,0.142309721067376,0.981978101132009,0.00858861182697112,2022-12-25
431,FR,0.0141223940820443,0.0350194552529182,0.0542469664525339,1.31322832242537,2.93680599402513,0.170354376061471,1.5020528878756698,3.89962045328003,0.248919343468824,0.1888245654503,0.9628144592549002,0.078564967407353,1,42.0,2.21143745190903,0.0508419867143602,8.224005177721489,0.0680391361584411,0.9858991245745219,0.008651047649024121,2023-10-01
50,IT,0.248120300751879,0.19620253164556897,0.14923076923076903,12.9409918181065,117.248489733262,1725.52967870487,3.65311670431907,45.2966580647793,35675.9245834567,-9.287875113787429,-71.9518316684827,33950.394904751825,1,,3.5691836333131803,0.683740533434188,5.54645867793088,0.95241201389412,0.9780961107768421,0.10610967263810601,2021-01-03
169 + 190,IT,0.0116618075801749,0.144743276283618,0.311142857142857,0.727826026260145,1.93997454864853,0.6177598247967271,0.7035389484323779,1.8804662655400401,0.59813684105381,-0.024287077827767067,-0.0595082831084901,-0.019622983742916933,1,42.0,0.7137259080072451,0.32210078076119797,1.9180580112107302,0.384423281681519,0.610968884295021,0.0437832188832933,2021-12-12
196,IT,0.0366817155756207,0.0407761529808773,0.10021208907741198,0.727826026260145,1.93997454864853,0.6177598247967271,0.7035389484323779,1.8804662655400401,0.59813684105381,-0.024287077827767067,-0.0595082831084901,-0.019622983742916933,1,28.0,1.83841736733115,0.14711445547110502,5.62840148156002,0.173846450082387,0.9862707064338209,0.0205071885964186,2022-01-30
235 + 274 + 305,IT,0.9401114206128129,0.9379217273954108,0.912470023980815,1.31906595616655,1.42899521751832,0.9954558722964449,1.14928466868327,1.1128090279101899,0.891060692887131,-0.16978128748328006,-0.31618618960812994,-0.10439517940931407,1,5.0,1.3434387671421,0.0951654446594717,1.41318579840363,0.0906794233765318,0.9821437183792401,0.0070276970201709294,2022-11-20
295 + 371 + 416,IT,0.0369198312236286,0.0260736196319018,0.065891472868217,2.80895130170329,28.4436016108618,710.896941155497,2.3936546984562597,30.894999584345,10200.0827163637,-0.41529660324702977,2.4513979734832,9489.185775208205,1,16.0,2.4574497943983302,0.106049639662108,8.29535416127591,0.12048184355927302,0.945941264533887,0.0056758451822323894,2023-01-08
409,IT,0.0476190476190476,0.0482954545454545,0.0677290836653386,2.8545130360727797,36.7260558554115,14528.653037168899,2.04811158657657,29.288526022598,46070.3430567132,-0.8064014494962102,-7.437529832813502,31541.6900195443,1,42.0,1.8340308171345499,0.0691439578009084,6.37342147224368,0.0972811623000796,0.8783126229619481,0.0142058129109982,2023-10-29
47,SE,1.0,0.0683349374398459,0.117140396210163,,,,,,,,,,1,,4.35199850732021,2.35378235599626,5.16564005389767,3.0251950150999902,1.11523807110837,0.318842317886349,2021-01-10
